Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
Seven,AmeliaDarkholme,24030196,06 May 2020,Teen And Up Audiences,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"11,217",2,3,83,8,1040
Lullaby of Woe,EmiliaVBlake,24030472,06 Jun 2020,Mature,"F/F, F/M, M/M",Graphic Depictions Of Violence,Work in Progress,English,"60,121",12,30,58,7,2078
Ron's family,Lilys_Dreamland,24030550,06 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,591,1,3,54,3,511
Falling In Love (Is So Alone),hannahsoapy,24030559,05 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,091",1,0,12,2,190
The Bloody Secret,psc07,24030709,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"11,635",1,3,92,13,1101
Burnt Kiss,BittersweetAlias,24030718,15 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"85,542",11,486,1065,124,26152
Stars turn to Moons,Silveraro,24030754,12 May 2020,General Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"4,194",3,7,103,10,2181
Turnabout,MercurialTenacity,24030757,06 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"1,241",1,5,192,12,6004
New romantics,aboringmess,24030865,06 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,128",1,0,30,2,642
Home Again,Paramour_Party,24030946,31 Jan 2021,Teen And Up Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"67,871",7,118,396,120,8565
By Her Wand,JediAnnieScrambler,24030991,05 May 2020,Explicit,F/F,No Archive Warnings Apply,Complete Work,English,521,1,9,352,25,6356
Weirdly Inevitable,BingeMac,24031255,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,639",1,0,23,2,317
My Eyes Went Dark,deckersqueen,24031288,28 May 2020,Teen And Up Audiences,No category,"Graphic Depictions Of Violence, Major Character Death",Complete Work,English,644,1,0,23,2,169
Meet-Cute (Again),camichats,24031375,05 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,300",1,12,138,5,1510
Make Your Move,gracerene,24031387,06 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"2,621",1,26,241,10,3735
Comes the Dawn,bionically,24031429,06 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"10,316",1,32,258,32,3272
Growing Pains,orphan_account,24031507,18 Aug 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"16,788",15,60,304,20,5435
Lady Consort,GaeilgeRua,24031801,06 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,442,1,7,97,7,1675
Over The Edge,pipedream69,24032083,02 Mar 2021,Not Rated,M/M,Underage,Work in Progress,English,"12,794",20,4,48,7,1483
Chained to You,fojee,24032110,30 Mar 2022,Explicit,M/M,Underage,Complete Work,English,"34,676",9,79,532,121,10798
(K)not Me,Kuronekochan,24032113,06 May 2020,Explicit,M/M,Underage,Complete Work,English,"2,919",1,41,1276,147,32611
The Lost Ones,Lolikiano,24032152,09 May 2020,Mature,"F/F, F/M, Gen, M/M, Other",No Archive Warnings Apply,Work in Progress,English,"5,819",3,0,0,0,38
I love you and I hate you (and I'm losing my mind),Antisocialbutterflie,24032158,06 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,333,1,0,58,0,885
The Wandmaker's Daughter,The_Lochness_Monster,24032188,06 May 2020,Not Rated,F/F,Choose Not To Use Archive Warnings,Work in Progress,English,"3,326",1,0,5,1,38
Kittens & Kneazles,Alas_Earwax,24032233,06 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,521",1,4,80,8,1273
Revelation of the Twin Guardians,wingedseerwolf93,24032506,06 May 2020,Explicit,"M/M, Multi",No Archive Warnings Apply,Complete Work,English,"2,798",1,18,135,55,4081
The Ferret That Brought Us Together,Snapeaholic394,24032521,06 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,227",1,2,8,1,188
Flash,Aylaar,24032563,06 May 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,English,280,1,5,125,5,1008
This Kiss,kiwisaurus121,24032998,07 May 2020,Teen And Up Audiences,F/F,No Archive Warnings Apply,Complete Work,English,679,2,0,52,3,731
The Middle Man,laptopsnuggler,24033031,10 May 2020,Teen And Up Audiences,M/M,Graphic Depictions Of Violence,Work in Progress,English,"11,518",6,0,1,0,194
"Looking at you, looking right back",weestarmeggie,24033133,06 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"2,572",1,25,544,84,11243
Gryffindor Pride & Slytherin Prejudice,Gloryofluv,24033268,21 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"29,973",12,24,62,13,1183
So it is,Threadbear,24033724,06 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,806",1,18,183,6,4590
Stars,amberley,24033763,06 May 2020,Not Rated,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,422",1,9,120,6,1424
The Loyalty Principle,Demonwolfkid,24033805,16 Aug 2021,General Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"17,527",7,19,119,32,3226
New Beginnings,callmeincognito,24033898,23 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"4,150",2,0,4,2,144
Boiling Point,prophet_of_troy,24034666,06 May 2020,Not Rated,Gen,Major Character Death,Complete Work,English,"2,706",1,3,45,3,456
The Escapist,theprincegroom,24034711,06 May 2020,General Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,851,1,0,9,1,93
Beyond the Veil,orphan_account,24034756,01 Jun 2020,Teen And Up Audiences,"F/M, M/M","Graphic Depictions Of Violence, Rape/Non-Con",Work in Progress,English,"8,730",2,47,519,177,8194
"Remus, Peter, Sirius, and Prongs",lyschips,24034864,06 May 2020,Teen And Up Audiences,"F/M, Gen, M/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"3,159",1,0,50,2,575
Enough,temptresslove,24035563,06 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"5,862",1,43,1258,131,12665
在五月份死掉,NdebeleSmith,24035659,06 May 2020,General Audiences,M/M,Major Character Death,Complete Work,中文-普通话 國語,"21,181",1,8,41,3,723
"fate, destiny and soulmates",desperateforsanity,24036172,18 Feb 2021,Teen And Up Audiences,"F/M, M/M",Major Character Death,Complete Work,English,"16,517",2,40,130,29,2065
巴黎没有救赎,sevenie,24036400,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"3,275",1,0,5,0,108
The Lost Brother,yourPerfume,24036667,07 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"4,740",2,7,36,6,322
'Til Death Do Us Part,aminathescorpio,24036961,06 May 2020,Teen And Up Audiences,"F/M, M/M",Major Character Death,Complete Work,English,545,1,4,37,1,345
Don't push it,pastelserpent,24037330,06 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"5,651",1,0,53,1,1078
The prefect badge,Veronica_stark97,24037813,06 May 2020,Not Rated,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,516,1,4,76,4,1353
The marvelous misadventures of a reluctant Mista' Potter and his entourage,Ideasofmarch,24037918,06 May 2020,Mature,"F/F, F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"4,108",1,50,358,97,3606
Saippuakuplia,Beelsebutt,24037921,10 Feb 2009,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,0,1,0,0,0,65
烟与吻,springjenny,24037924,06 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"2,236",1,0,21,1,1103
Seduction,orphan_account,24037942,06 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,638,1,0,42,1,544
If I'm Being Honest (I'm Hoping It Might),Amaya (girlnamedamaya),24038155,06 May 2020,General Audiences,F/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Work in Progress,English,"8,591",2,0,72,8,882
人人都爱哈利波特,springjenny,24038161,06 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"4,756",1,0,48,4,1686
Sirius's Letter,damadape,24038182,26 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"14,013",3,32,375,54,6705
初吻,springjenny,24038278,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"3,099",1,0,26,2,1957
Incendiary,Farmulousa,24038299,08 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"8,418",2,27,306,54,5623
Odotukset ylittävää,Beelsebutt,24038317,12 Feb 2009,Explicit,M/M,No Archive Warnings Apply,Complete Work,Suomi,"1,077",1,0,1,1,280
影像,springjenny,24038350,06 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"1,232",1,0,16,2,384
饮食男男,springjenny,24038431,06 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"2,531",1,2,20,0,752
The Potion of Persuasion,FionaLaFleur,24038515,26 Sep 2021,Explicit,"F/M, M/M","Graphic Depictions Of Violence, Rape/Non-Con, Underage",Work in Progress,English,"67,658",13,23,120,31,4720
Prompts From Harmony Discord,TheSpyder,24038548,03 Jun 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"15,514",16,5,59,7,1650
"Libérée, Délivrée",Queen_B,24038662,27 May 2021,Teen And Up Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"200,523",30,16,96,26,3330
"Top Reasons Remus Lupin Should Crush on One Sirius Black, written by Sirius Black",ZoeBen,24038710,06 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,814,1,8,177,12,1977
Aquella noche de verano,mordanbooqs,24038728,06 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,Español,"5,104",1,1,11,0,300
Fake Love,Moony_paws,24038794,21 Jan 2021,Mature,M/M,"Graphic Depictions Of Violence, Rape/Non-Con, Underage",Complete Work,English,"17,814",17,45,367,44,10587
A Flaming Mess,orphan_account,24038806,06 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,354,1,0,56,3,451
All Was Well,orphan_account,24038884,06 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,232",1,1,22,0,437
"X O X O, Golden Girl",femme_de_lettres (orphan_account),24039142,06 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,609",1,1,160,5,2343
As In Memories,Mephistophilia,24039184,06 May 2020,Not Rated,M/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,"2,174",1,9,73,9,957
Metal with a hint of cinnamon,Detroit_become_Merlin,24039226,06 May 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,English,"1,324",1,1,147,11,2140
Keep Holding On,xLoveMx,24039385,06 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,579",1,12,182,21,1585
