ID,Tags,Summary,Date_published
24030196,Alternate UniverseAlternate Universe - Canon DivergenceAlternate Universe - Everyone Lives/Nobody DiesOn Hiatus ,"""It's just a dream, Albus. It's all just a dream, love. I'm right here. I'm not going anywhere. I'll never leave you.""“I know. I believe you. I trust you. I love you.”And Albus let himself being lulled back to sleep, safe and loved in Gellert’s arms. , This is an AU, sort of based on the one-shot I posted a few months ago – They Could Have Been a Family. In this story, Credence is not a long lost child of the Dumbledore family, and McGonagall is not a teacher in 1927, and Gellert’s eyes are normal blue instead of heterochromic like in the movies. That’s all, I guess. I’ll let you go now. I hope you guys like it. Happy reading! ",2020-05-06
24030472,HeartbreakRomanceSlow BurnAngstRedemptionSlight deviance from epilogueEpilogue still happensdramione - FreeformSmutPorn With PlotFluffFluff and AngstEnemies to LoversBack to enemies? ,"It's ""eighth"" year, can Hermione put aside her prejudices to learn to look beyond the pit of snakes? Can Draco put aside his fear to understand that a pride of lions won't always take what they want? Will explore more than just that year though. , So, I've always loved Dramione, and this is the first time I'm attempting this ship in my own writing. We'll get deeper into their minds next chapter though. Super excitedddd. ",2020-05-06
24030550,Fred Weasley LivesOne Big Happy Weasley Family (Harry Potter)Protective SiblingsHurt/ComfortSibling BondingSibling LoveOther Additional Tags to Be Added ,"Just a bunch of fluffy One-shorts about Ron Weasley and his siblings that's it , Ron's Freezing cold luckily the twins are there to make sure he's warm , Hay guys Hope you liked this one I'll post the next one soon ",2020-05-06
24030559,Unrequited LoveHeartbreakCanon CompliantHogwarts Sixth Year ,"She wasn't even sure when she had started to like him as more than a friend; the beginnings were vague, like a dream she couldn't quite place. , QLFC Round 3 SubmissionKeeper for the Chudley CannonsPrompt: Satisfied: Write about unrequited feelings (romantic or platonic).Song lyric from Satisfied: ""like a dream you can't quite place""Word Count: 1101Title is from the song My Cell, by The Lumineers, in their latest album, III, which is amazing. ",2020-05-06
24030709,jilySoulmates ,"Because as much as she had told her parents that her finding a soul mate would be very unlikely, she knew she had stumbled upon hers during her second year.
She knew it the moment the jinx got his arm, slitting the skin open and pouring that hazel, golden-greenish tone that matched hers with perfection.
She knew James Potter was her soul mate, and she hated it. ",2020-05-06
24030718,Strong sexual contentLanguageDramaViolencesome goreVampire PoliticsTorturePossessionweresexKnottingM/M/M/M ,"It’s the beginning of one hot summer, and this time the Europeans are coming to them or at least their representative, and that’s not a good thing. Oh, and then there’s Asher. With balancing a wonky domestic life, vampire politics, and firebugs Harry’s plate is full, and let’s not forget his duties to both the wereleopards and the werewolves. Warnings: M/M/M/M, Strong Sexual Content, Language, Drama, Violence, Some Gore, Vampire Politics, Torture, Possession, WeresexBook 7 but placing 9: Burnt Offerings ",2020-05-06
24030754,Trans Female CharacterTrans Sirius BlackwolfstarComing OutMarauders Era (Harry Potter)mtf sirius blackFemale Sirius Black ,"""You know, Padfoot didn't have a dick,"" said Remus, giggling, oblivious to the shocked face on one Sirius Orion Black.""Well, that's going to be hard to explain away,"" she thought ",2020-05-06
24030757,Forced FeminizationIntelligence LossNon-Consensual Body ModificationPotionsManipulationMind/Mood Altering SubstancesMasturbationGropingOwnershipMind BreakPet NamesAccidental Drug Use ,"Gellert relishes the plan he has for his prisoner - seeing all that power stripped away, keeping him as a useless little trophy and leaving him as not even a shadow of the man he once was.  Gellert has played this game before, but he’s never felt such anticipation as when he thinks of inflicting it on Percival Graves.
If there’s one thing Gellert does not expect, it’s having his own game turned around on him. ",2020-05-06
24030865,Canon CompliantFirst Lovefirst I love youOne Shotmentions of mary and marlene ,"Lily Evans believes in choices and reason and also love. James Potter is a desperate romantic. , Title from Taylor Swift. English is not my first language so apologies for the mistakes! , This was actually the first fic I wrote, but I editied quiet a bit because it was very bad, but I loved the idea. Comment please! ",2020-05-06
24030946,Other Additional Tags to Be AddedAlternate UniverseCrossoverCross-Posted on FanFiction.NetCrossover PairingsAlternate Universe - Canon DivergenceTouch-Starved ,"All Hermione wants is to go home but if she's stuck indefinitely in this strange universe with no Wizarding World, she'd like to at least have some peace and safety in this new life of hers. Unfortunately, trouble always comes from people who were rather devoted to having skulls in their motifs. ",2020-05-06
24030991,Library SexInappropriate Use of Wands (Harry Potter)May/December RelationshipPWPQuintuple DrabbleSmutMaster/PetAlternate Universe ,"Hermione found herself shoved up against the tall, tall bookshelf in the restricted section of the library. Her first six years at Hogwarts had been filled with magic trials and tribulations, but now her seventh year was supposed to be full of uneventful academia- not this.
This was Bellatrix, former Death Eater, now kissing Hermione’s neck. , This is my first Bellamione fic (and like my first HP fic I've posted on here) so. Kindness is a virtue. ",2020-05-06
24031255,SmokingAlternate Universe - MuggleThe Quidditch League Fanfiction CompetitionOne Shotmention of minor injury ,"Ron’s first kiss was with Pansy Parkinson... they were six.(Round 3 of QLFC Season 8. Go Kestrels!)Judge's Pick Contender , A/N- QLFC, Kenmare Kestrels, Chaser 1, Round 3Main Prompt- You’ll Be Back: Write about someone missing the good old days.Lyric Used- Remember we made an arrangement when you went away.Additional Prompts- (object) book, (plot point) wedding, (relationship) father/childWarnings- smoking, mention of injury by car accidentWord Count: 2658 ",2020-05-06
24031288,TortureCharacter Analysissecondary characterThird-personOne ShotAngstRegretLast MomentsJust my POVI do be sad thothis one isn't thattt graphic but i put the warning 'cause ykImplied/Referenced TortureImplied/Referenced Character DeathSelf-HatredHeavy AngstBittersweet Ending ,"Rufus Scrimgeour had made many mistakes in his life, but this would not be one of them. If he died, he would make sure the boy lived.An analysis of Rufus Scrimgeour’s last moments. , Thanks so much for reading. This is just a quick one-shot, since I found Scrimgeour to be a fascinating character, especially when he died rather than give up Harry to the Deatheaters, despite their dislike of each other. Anyways, I really wanted to explore his last moments, and what might have been going through his head. Feel free to flame, I’m new to writing. ",2020-05-28
